timestamp,voltage
-0.973082000000431,12.0197697
0.0269259999995484,12.0199575
1.02822600000036,12.0201359
2.02693799999997,12.0198231
3.02694200000042,12.0185623
4.02839800000038,12.018569
5.02695399999993,12.0185757
6.02696199999991,12.0183411
7.02827400000024,12.0181179
8.02697400000034,12.0179062
9.02697799999987,12.0181866
10.0282779999998,12.017971
11.0269900000003,12.0184898
12.0269939999998,12.0177774
13.0283099999997,12.0175829
14.0270060000003,12.0164337
15.0270139999993,12.0165472
16.028354,12.0159321
17.0270259999998,12.0160704
18.0270339999997,12.0159607
19.0287339999995,12.0151339
20.0270459999992,12.0141077
21.0270499999997,12.0145788
22.0283939999999,12.0143032
23.0270619999992,12.0130777
24.0270659999996,12.0128775
25.0284140000003,12.0126867
26.0270819999996,12.0108194
27.0270860000001,12.0119362
28.0284419999998,12.0093832
29.0270979999996,12.0086441
30.027102,12.0089064
31.0284099999999,12.0074682
32.0271139999995,12.0068254
33.0271300000004,12.0062141
34.0284379999994,12.0070791
35.0271339999999,12.0074196
36.0271379999995,12.0075016
37.0284460000003,12.0068569
38.0271499999999,12.0079308
39.0271579999999,12.0087099
40.0286099999994,12.0075226
41.0271699999994,12.0068769
42.0271739999998,12.0081911
43.0284780000002,12.0087166
44.0271859999993,12.0075293
45.0271940000002,12.0073652
46.0284979999997,12.0062456
47.0272100000002,12.0061455
48.0272100000002,12.0041227
49.0285139999996,12.004611
50.0272219999997,12.0050745
51.0272260000002,12.006238
52.0285339999991,12.007102
53.0272379999997,12.0079231
54.0272459999996,12.0089436
55.028566,12.008709
56.0272580000001,12.0108957
57.0272659999991,12.0105629
58.0285700000004,12.0109701
59.0272779999996,12.0087061
60.0272819999991,12.0082417
61.0289419999999,12.0090055
62.0272939999995,12.0063581
63.027298,12.0050478
64.0286459999998,12.0038033
65.0273099999995,12.0038252
66.0273180000004,12.0038462
67.0286619999997,12.0014563
68.0273299999999,12.0032825
69.0273379999999,12.0033302
70.0286820000001,12.0019302
71.0273459999999,12.0037327
72.0273539999998,12.0035172
73.0286980000001,12.0045176
74.0273660000003,12.0066729
75.0273859999998,12.0070333
76.02873,12.0078573
77.0273820000002,12.0084
78.0273899999993,12.0110836
79.0287339999995,12.0131512
80.0274019999997,12.01367
81.0274059999992,12.0139217
82.0290979999991,12.0134382
83.0274179999997,12.0105686
84.0274259999997,12.010252
85.02873,12.0106745
86.0274379999992,12.0108347
87.0274419999996,12.0105057
88.0287499999995,12.0111561
89.0274579999996,12.0120153
90.027462,12.0118675
91.0287659999995,12.0112457
92.0274739999995,12.0118599
93.027478,12.0105152
94.0287819999994,12.0097198
95.0274900000004,12.0080004
96.0275019999999,12.0073309
97.0288139999993,12.0066948
98.0275060000004,12.005127
99.0275139999994,12.003396
100.028818,12.0044022
101.027526,12.0048761
102.027529999999,12.0043631
103.029006,12.0033932
104.027545999999,12.0034361
105.02755,12.0034761
106.02885,12.0027914
107.027561999999,12.0033455
108.027566,12.0029087
109.02887,12.0029755
110.027577999999,12.0037622
111.027586,12.0013771
112.028886,12.0024843
113.027598,12.0030546
114.027602,12.0050421
115.028906,12.0045204
116.027618,12.0049887
117.027622,12.003747
118.028922,12.0040131
119.027634,12.0040245
120.027638,12.0030718
121.028937999999,12.002408
122.027657999999,12.0029821
123.027662,12.0035267
124.028969999999,12.0018759
125.027669999999,12.0022354
126.027674,12.0004082
127.028974,11.9993954
128.027685999999,11.9998789
129.027698,11.9991331
130.028994,11.9989071
131.027706,11.9962826
132.02771,11.9971628
133.02901,11.997035
134.027722,11.996191
135.02773,11.9965935
136.02903,11.9952898
137.027742,11.995738
138.027746,11.9954405
139.029046,11.9975672
140.027762,11.997901
141.027765999999,11.9970131
142.029065999999,11.9978561
143.027778,11.9998627
144.027781999999,12.000082
145.029094,12.0005312
146.02781,12.0016804
147.027802,12.0027723
148.029102,12.0033274
149.02781,12.0036144
150.027818,12.0026817
151.029134,12.0005913
152.027829999999,12.0019789
153.027838,12.000164
154.029134,11.999404
155.027846,11.9998865
156.027854,11.9986591
157.029154,11.9979744
158.02787,11.9982882
159.02787,11.9990683
160.029173999999,11.9978819
161.027882,11.996995
162.027889999999,11.9963932
163.029189999999,11.995822
164.027902,11.9967251
165.02791,11.9966192
166.029205999999,11.9970007
167.027918,11.9947128
168.027926,11.9949484
169.029226,11.9942083
170.027937999999,11.9944696
171.027942,11.9954405
172.029258,11.9939528
173.027953999999,11.9949493
174.027962,11.9944506
175.029262,11.9951811
176.027974,11.9978027
177.027978,11.9974022
178.029278,11.9975033
179.02799,11.9983225
180.027998,11.9995823
181.029297999999,11.9988518
182.02801,11.9996033
183.028014,12.0005579
184.029313999999,12.0002604
185.028026,12.0004597
186.028034,11.9972754
187.029334,11.9956961
188.028042,11.9949188
189.028054,11.9939394
190.02935,11.9939728
191.028061999999,11.9949684
192.028066,11.9944687
193.029382,11.9939938
194.028082,11.9945059
195.028098,11.9959564
196.029386,11.9958887
197.028098,11.994379
198.028106,11.9963179
199.029418,11.9957504
200.028114,11.9964161
201.028122,11.99753
202.029422,11.9969015
203.028134,11.9977503
204.028141999999,11.9975929
205.029441999999,11.9979258
206.02815,11.9989643
207.028162,12.0009146
208.029457999999,12.0015631
209.02817,12.0014563
210.028173999999,12.0020771
211.029478,12.0004988
212.028186,11.9997225
213.02821,11.9992256
214.029494,11.9985123
215.028206,11.9971123
216.02821,11.9967461
217.02951,11.9961567
218.028222,11.9963198
219.02823,11.9964752
220.029546,11.9956589
221.028242,11.9963293
222.028246,11.9955206
223.029546,11.9949932
