timestamp,servo1Angle,servo2Angle,targetAngle,velocityAngle,targetX,targetY,error,pidOutput
109.529586,0,0.146666661,2.11031294,0.197381079,-483.316589,807.178589,1.91293192,-17.6114712
109.629585999999,0,0.151666671,2.11070824,0.114790015,-483.750183,807.178467,1.99591827,-18.2013073
109.729585999999,0,0.149166673,2.11118364,0.193620548,-484.172729,807.013062,1.91756308,-17.8622322
109.829586,0,0.150833338,2.11156273,0.166187972,-484.589172,807.013733,1.94537473,-18.1330433
109.92959,0,0.144999996,2.11160564,0.317088127,-484.585938,806.929932,1.79451752,-17.3715134
110.02959,0,0.13333334,2.11169791,0.563316405,-484.585083,806.76001,1.54838157,-16.0499744
110.12959,0,0.134166673,2.1121788,0.566861272,-485.011719,806.591309,1.54531753,-16.1209583
110.22959,0,0.132499993,2.11223173,0.621947527,-485.017578,806.504456,1.4902842,-15.8910294
110.329598,0,0.124166667,2.11274433,0.811100602,-485.431396,806.256348,1.30164373,-14.8847771
110.42959,0,0.125,2.11274815,0.810620129,-485.434448,806.254211,1.30212808,-14.9621572
110.52959,0,0.125,2.11274815,0.809958398,-485.434448,806.254211,1.30278969,-15.0405931
110.629601999999,0,0.125833333,2.11274838,0.80942589,-485.434509,806.25415,1.30332255,-15.1183205
110.72959,0,0.126666665,2.11274838,0.81044817,-485.43457,806.254089,1.30230021,-15.1870804
110.829594,0,0.102499999,2.11427402,1.3260895,-486.263367,804.84967,0.788184524,-12.2865744
110.929593999999,0,0.099166669,2.11451006,1.40762329,-486.266602,804.425537,0.706886768,-11.8612738
111.029594,0,0.0958333313,2.11473393,1.47367108,-486.263306,804.013672,0.641062856,-11.5208607
111.129594,0,0.0941666663,2.11495972,1.52699685,-486.260681,803.599854,0.587962866,-11.250308
111.229594,0,0.0941666663,2.11496139,1.52713287,-486.260559,803.596313,0.587828517,-11.2832193
111.329598,0,0.0941666663,2.11496139,1.52598166,-486.260559,803.596313,0.588979721,-11.3235607
111.429602,0,0.0974999964,2.11611128,1.47550702,-486.683716,802.21167,0.640604258,-11.6560516
111.529597999999,0,0.0933333337,2.11638546,1.560727,-486.682678,801.713989,0.55565846,-11.2011862
111.629598,0,0.0900000036,2.11660886,1.6420927,-486.678345,801.303284,0.474516153,-10.7634621
111.729598,0,0.0874999985,2.11687851,1.69470203,-486.675537,800.811951,0.42217648,-10.4877663
111.829598,0,0.0874999985,2.11688066,1.69328058,-486.675415,800.807922,0.423600078,-10.5201941
111.929602,0,0.0874999985,2.11688066,1.69296944,-486.675415,800.807861,0.423911214,-10.5462637
112.029602,0,0.088333331,2.11688066,1.69354427,-486.675415,800.807861,0.423336387,-10.5672264
112.129601999999,0,0.088333331,2.11688066,1.69475114,-486.675415,800.807922,0.422129512,-10.5844975
112.229601999999,0,0.088333331,2.11688042,1.69529128,-486.675415,800.807983,0.421589136,-10.6055574
112.329602,0,0.0825000033,2.11798644,1.81718457,-486.247009,798.113098,0.300801873,-9.93073177
112.429602,0,0.0816666633,2.11822081,1.83759606,-486.242126,797.684143,0.280624747,-9.83120346
112.529613999999,0,0.0799999982,2.1181078,1.88884878,-485.818665,797.192383,0.229259014,-9.55003357
112.62961,0,0.0758333355,2.11837459,1.97124112,-485.809753,796.69928,0.14713347,-9.08791924
112.729606,0,0.0708333328,2.11821222,2.07622671,-485.38324,796.290649,0.0419855118,-8.48787212
112.829605999999,0,0.0675000027,2.11804843,2.14157915,-484.955505,795.882202,-0.0235307217,-8.11114407
112.929606,0,0.0658333302,2.1182723,2.1722095,-484.950073,795.472473,-0.0539371967,-7.93383741
113.029606,0,0.0649999976,2.11811495,2.19108605,-484.528198,795.062134,-0.0729711056,-7.82060003
113.129606,0,0.0641666651,2.11838484,2.21821737,-484.522095,794.569336,-0.0998325348,-7.66097498
113.229606,0,0.0616666675,2.11822653,2.25578761,-484.099792,794.15979,-0.137561083,-7.43692398
113.32961,0,0.0599999987,2.11806393,2.29972792,-483.673828,793.751099,-0.18166399,-7.17382526
113.429609999999,0,0.0599999987,2.1180625,2.30054426,-483.670288,793.747864,-0.182481766,-7.15868378
113.529613999999,0,0.0591666661,2.1180625,2.30104923,-483.670227,793.747864,-0.182986736,-7.14530611
113.62961,0,0.0566666685,2.11788011,2.3520565,-482.829956,792.694092,-0.234176397,-6.83859444
113.72961,0,0.0549999997,2.11767197,2.39110494,-482.401306,792.361694,-0.27343297,-6.59800434
113.82961,0,0.0524999984,2.11746168,2.44666433,-481.974365,792.034973,-0.329202652,-6.25960588
113.929609999999,0,0.0500000007,2.1176405,2.48377681,-481.969727,791.708557,-0.366136312,-6.0270133
114.029613999999,0,0.0483333319,2.11738873,2.51729131,-481.546631,791.46228,-0.399902582,-5.81063366
114.129613999999,0,0.0466666669,2.11713457,2.54447412,-481.122437,791.217834,-0.427339554,-5.62894773
114.229614,0,0.0441666655,2.11692238,2.59138823,-480.693237,790.890137,-0.474465847,-5.33174849
114.329614,0,0.0425000004,2.11666679,2.628685,-480.267822,790.645142,-0.512018204,-5.08725309
114.429618,0,0.0408333316,2.11645675,2.65701342,-479.842163,790.318604,-0.540556669,-4.89276791
