timestamp,deltaP,airspeed
-0.987506000000394,-693.748352,33.8701248
-0.971090000000913,-684.068665,33.6323814
-0.952158000000054,-684.068665,33.6322327
-0.91618600000038,-684.068665,33.6322823
-0.899090000000797,-674.404602,33.3938713
-0.880186000000322,-684.068665,33.6323242
-0.844186000000263,-693.748352,33.8693924
-0.82709000000068,-684.068665,33.631012
-0.807546000000002,-684.068665,33.6325836
-0.791090000000622,-684.068665,33.6320839
-0.755086000000119,-693.748352,33.8689919
-0.736265999999887,-693.748352,33.8694954
-0.719081999999617,-703.412415,34.1050873
-0.682921999999962,-703.412415,34.1054726
-0.665086000000883,-703.412415,34.1043434
-0.628138000000035,-693.748352,33.8693314
-0.611090000000331,-674.404602,33.3940392
-0.592894000000342,-684.068665,33.6327324
-0.556182000000263,-684.068665,33.6322708
-0.53908600000068,-674.404602,33.3938599
-0.520182000000204,-684.068665,33.6326523
-0.484185999999681,-684.068665,33.6323395
-0.467086000000563,-684.068665,33.6328888
-0.447197999999844,-693.748352,33.8693314
-0.430002000000059,-693.748352,33.8692474
-0.395086000000447,-693.748352,33.8690681
-0.37622200000078,-703.412415,34.1043053
-0.359086000000389,-693.748352,33.8688354
-0.32292200000029,-674.404602,33.394928
-0.305086000000301,-684.068665,33.63237
-0.268181999999797,-684.068665,33.6325531
-0.251086000000214,-674.404602,33.3938408
-0.232890000000225,-674.404602,33.3943939
-0.196181999999681,-684.068665,33.632534
-0.179086000000098,-693.748352,33.8696518
-0.160181999999622,-684.068665,33.6322403
-0.124178000000029,-684.068665,33.6326752
-0.107082000000446,-693.748352,33.8696442
-0.0873339999998279,-693.748352,33.8688164
-0.0710859999999229,-693.748352,33.8689499
-0.0350859999998647,-722.756165,34.5687103
-0.016182000000299,-722.756165,34.5705719
0.000914000000193482,-732.42804,34.8016014
0.0370819999998275,-742.099915,35.0297737
0.0549179999998159,-761.443665,35.4846611
0.0924619999996139,-751.77179,35.2581329
0.108914000000368,-800.107727,36.3745461
0.127109999999448,-800.107727,36.3753433
0.163821999999527,-829.123352,37.0282402
0.18091800000002,-838.795227,37.2435837
0.199941999999282,-877.474915,38.0944252
0.234918000000107,-954.83429,39.7385445
0.252918000000136,-1080.53735,42.2745667
0.271821999999702,-1080.53735,42.2763863
0.288918000000194,-1109.55298,42.8404846
0.324918000000253,-1167.58423,43.9490089
0.343817999999374,-1206.24829,44.6707268
0.360918000000311,-1244.93579,45.3838921
0.3970819999995,-1312.61548,46.6027336
0.414918000000398,-1322.29517,46.7759361
0.452465999999731,-1438.32642,48.7870216
0.468917999999576,-1496.35767,49.7654076
0.487113999999565,-1564.03735,50.881649
0.523837999999159,-1709.08423,53.1917419
0.540922000000137,-1699.42017,53.0411415
0.559821999999258,-1757.4436,53.9450569
0.595837999999276,-1941.16235,56.6991882
0.612917999999809,-1950.84204,56.8430405
0.631821999999374,-2066.86548,58.5134163
0.648929999999382,-2124.89673,59.3325844
0.684917999999925,-2240.92798,60.9375496
0.703781999999592,-2308.62329,61.8527031
0.739786000000095,-2434.32642,63.5216713
0.757085999999617,-2550.36548,65.0250397
0.774921999999606,-2676.0686,66.6113434
0.812465999999404,-2830.78735,68.5147324
0.828921999999693,-2995.18579,70.4872284
0.848441999999523,-3053.1936,71.1710052
0.883821999999782,-3246.59985,73.3997574
0.900926000000254,-3352.96704,74.592453
0.919825999999375,-3439.99829,75.5695496
0.955877999999757,-3672.07642,78.0886536
0.972921999999926,-3739.76392,78.8081818
0.99246999999923,-3923.49829,80.7312088
1.00892199999907,-4049.20142,82.0216293
1.04492199999913,-4223.25635,83.7788773
1.06382599999961,-4358.63916,85.1158981
1.08092199999919,-4484.3501,86.3461838
1.1170860000002,-4658.40479,88.0202332
1.13492199999928,-4842.13135,89.749382
1.17187000000013,-5112.88916,92.2324982
1.18893000000025,-5238.6001,93.3821793
1.20711800000026,-5364.31104,94.5044708
1.2438259999999,-5664.07666,97.123703
1.26092199999948,-5770.45166,98.0314865
1.27982599999996,-5905.81885,99.2030945
1.31583799999953,-6224.93604,101.864906
1.3329219999996,-6331.29541,102.742508
1.35246999999981,-6466.67041,103.853683
1.36892199999966,-6602.06104,104.944527
1.40492199999971,-6959.84229,107.774681
1.42378999999983,-7133.90479,109.12561
1.44092599999931,-7278.95166,110.252296
1.47709000000032,-7733.43604,113.667274
1.4949259999994,-7868.81104,114.670555
1.53186599999935,-8216.93555,117.195526
1.54892599999948,-8390.99023,118.46801
1.56711799999994,-8584.38086,119.838409
1.60378999999921,-8884.14648,121.941536
1.6209259999996,-9212.92773,124.177422
1.63982599999963,-9338.63086,125.067642
1.67584199999965,-9667.4043,127.28553
1.69292599999972,-9831.81055,128.381195
1.71247000000039,-10073.5371,129.979431
1.72892599999977,-10324.959,131.611099
1.76492599999983,-10702.084,134.032486
1.78383000000031,-10943.8418,135.556549
1.80093399999987,-11175.9199,137.019791
1.83708999999908,-11514.3574,139.117737
1.85493399999996,-11765.7793,140.65387
1.89247400000022,-12287.9512,143.758759
1.90892600000006,-12510.3652,145.115799
1.92712199999914,-12839.1465,147.032333
1.9638419999992,-13206.5918,149.165024
1.98092999999972,-13370.9824,150.09053
1.99982999999975,-13757.7793,152.313904
2.0349299999998,-14086.5605,154.175934
2.05293799999981,-14357.3105,155.668671
2.07183799999984,-14550.7012,156.758896
2.08892600000036,-14782.7949,158.029861
2.12493399999948,-15024.5371,159.361008
2.14384599999994,-15295.3027,160.815369
2.16093000000001,-15643.4121,162.682053
2.1970939999992,-16262.2793,165.91713
2.21493000000009,-16329.9668,166.291992
