Time (ms);Barometer (Pa);Lon (° dec);Lat (° dec);Alt (m ASL)
2781601;122920;-8.2860804;39.3647385;685
2784002;123960;-8.2859526;39.3646736;580
2786401;124640;-8.2858248;39.3646202;528
2788801;124920;-8.2858248;39.3645782;517
2791201;125410;-8.2858143;39.3644829;505
2793601;125590;-8.2857676;39.3643074;489
2798401;125970;-8.2857180;39.3641891;478
2800801;126280;-8.2855186;39.3639030;451
2808002;126510;-8.2854404;39.3639374;437
2810401;127230;-8.2851505;39.3640480;393
2812801;127550;-8.2851219;39.3640594;380
2815201;127790;-8.2851353;39.3640442;367
2820002;128110;-8.2851057;39.3640480;347
2824801;128570;-8.2851114;39.3638763;313
2827201;129080;-8.2849751;39.3635941;284
2829601;129410;-8.2848129;39.3635178;263
2832002;129620;-8.2847424;39.3635178;248
2834401;129850;-8.2846699;39.3635445;227
2836801;130050;-8.2846527;39.3635597;213
2839201;130440;-8.2847137;39.3635292;198
2841601;130670;-8.2848454;39.3634071;182
2851201;130610;-8.2848425;39.3633995;181
2863201;130710;-8.2848358;39.3634033;180
