Time (ms);Barometer (Pa);Lon (° dec);Lat (° dec);Alt (m ASL)
434401;135600;-8.2891588;39.3901596;169
436801;135700;-8.2891607;39.3901634;168
439201;135790;-8.2891617;39.3901634;168
441601;135920;-8.2891626;39.3901672;169
444001;136000;-8.2891607;39.3901672;169
446401;136100;-8.2891607;39.3901672;169
448801;136230;-8.2891598;39.3901672;169
451201;136360;-8.2891588;39.3901634;169
453601;136430;-8.2891588;39.3901596;168
456001;136540;-8.2891579;39.3901596;168
458401;136630;-8.2891560;39.3901558;168
460801;136710;-8.2891550;39.3901558;167
463201;136820;-8.2891531;39.3901558;167
465601;136910;-8.2891512;39.3901596;167
468002;137020;-8.2891521;39.3901596;0
470401;137100;-8.2891531;39.3901634;167
472801;137220;-8.2891569;39.3901672;167
477601;137420;-8.2891598;39.3901634;167
480002;137540;-8.2891598;39.3901596;166
482401;137640;-8.2891588;39.3901558;166
484801;137710;-8.2891607;39.3901520;166
487201;137810;-8.2891607;39.3901482;166
489601;137900;-8.2891607;39.3901443;166
492001;138000;-8.2891598;39.3901405;166
494401;138110;-8.2891607;39.3901405;166
496801;138240;-8.2891579;39.3901367;166
499201;138300;-8.2891560;39.3901367;166
501601;138390;-8.2891521;39.3901291;166
504001;138480;-8.2891541;39.3901329;167
511201;138730;-8.2891560;39.3901443;168
513601;138800;-8.2891569;39.3901520;169
516002;138890;-8.2891579;39.3901558;169
518401;139010;-8.2891569;39.3901596;170
520801;139100;-8.2891560;39.3901596;170
523201;139190;-8.2891569;39.3901596;169
525601;139290;-8.2891588;39.3901596;169
528002;139370;-8.2891607;39.3901634;169
530401;139440;-8.2891626;39.3901672;169
532801;139540;-8.2891626;39.3901672;168
535201;139650;-8.2891626;39.3901634;168
537601;139770;-8.2891626;39.3901634;167
540002;139810;-8.2891626;39.3901634;167
542401;139910;-8.2891626;39.3901634;0
544801;140010;-8.2891617;39.3901634;167
547201;140100;-8.2891588;39.3901672;166
549601;140200;-8.2891588;39.3901672;166
552002;140260;-8.2891598;39.3901634;166
554401;140350;-8.2891607;39.3901596;166
556801;140430;-8.2891617;39.3901634;166
559201;140490;-8.2891607;39.3901634;166
561601;140610;-8.2891636;39.3901672;167
564001;140680;-8.2891655;39.3901711;168
566401;140780;-8.2891655;39.3901711;168
568801;140820;-8.2891645;39.3901672;167
571201;140920;-8.2891645;39.3901672;167
573601;141020;-8.2891655;39.3901634;166
576001;141110;-8.2891674;39.3901596;166
578401;141190;-8.2891693;39.3901596;167
580801;141290;-8.2891722;39.3901558;168
583201;141360;-8.2891731;39.3901558;168
585601;141420;-8.2891750;39.3901520;168
588001;141520;-8.2891750;39.3901482;168
590401;141600;-8.2891750;39.3901443;167
592801;141670;-8.2891741;39.3901367;167
595201;141770;-8.2891731;39.3901367;166
597601;141840;-8.2891722;39.3901367;166
600002;141930;-8.2891712;39.3901443;166
602401;142040;-8.2891722;39.3901482;167
604801;142100;-8.2891731;39.3901520;167
607201;142160;-8.2891731;39.3901558;167
609601;142250;-8.2891722;39.3901596;167
612002;142330;-8.2891712;39.3901634;167
614401;142420;-8.2891731;39.3901634;167
616801;142490;-8.2891731;39.3901596;168
619201;142550;-8.2891722;39.3901634;167
621601;142630;-8.2891712;39.3901596;0
624001;142710;-8.2891712;39.3901596;167
626401;142790;-8.2891722;39.3901558;168
628801;142880;-8.2891712;39.3901558;168
631201;142950;-8.2891703;39.3901558;168
633601;143050;-8.2891684;39.3901558;168
636001;143130;-8.2891674;39.3901558;169
638401;143220;-8.2891645;39.3901558;169
