accelerationTimestamp,accelerationX,accelerationY,accelerationZ,angularVelocityTimestamp,angularVelocityX,angularVelocityY,angularVelocityZ,magneticFieldTimestamp,magneticFieldX,magneticFieldY,magneticFieldZ
-0.989449000000604,9.4920969,0.318781644,1.60996556,-0.989449000000604,0.00202217605,0.00174826011,0.00141131412,-0.989449000000604,-19.9566917,12.484808,10.4836149
-0.97635100000025,9.4562521,0.330455393,1.64390814,-0.97635100000025,0.00035515707,0.00165224075,0.000340420986,-0.97635100000025,-19.8403721,12.5832071,10.4824791
-0.965183000001161,9.47248363,0.316607058,1.66832447,-0.965183000001161,-0.000759746414,0.000710484572,0.0011639283,-0.965183000001161,-19.7592697,12.4151583,10.1534719
-0.953350000000682,9.46750736,0.326309294,1.65044534,-0.953350000000682,-0.00215070648,0.00113213062,0.00157934939,-0.953350000000682,-19.5433254,12.3338957,9.81049156
-0.941529000000628,9.47453308,0.305733919,1.65019393,-0.941529000000628,-0.00240276149,0.000347962603,-0.000633118441,-0.941529000000628,-19.9462433,12.5428591,9.92648697
-0.928976000000148,9.49067974,0.312157482,1.67663121,-0.928976000000148,-0.00430716248,-0.000510416925,-0.000574306352,-0.928976000000148,-19.6288986,12.7018957,10.3396454
-0.9166320000013,9.45540047,0.34028545,1.63769794,-0.9166320000013,-0.00510533294,0.000314358622,0.000436707865,-0.9166320000013,-19.6485119,12.4813271,9.7222538
-0.905439000001024,9.45871162,0.331968844,1.63276148,-0.905439000001024,-0.00463234214,0.000148812309,-0.000639342121,-0.905439000001024,-19.5033493,12.6602268,10.0799904
-0.893606000000545,9.47127056,0.332833141,1.62127972,-0.893606000000545,-0.00475525716,-0.0006322423,0.000487118727,-0.893606000000545,-20.0867882,12.2990713,10.0077477
-0.881160000000818,9.45492458,0.316448212,1.60043633,-0.881160000000818,-0.000928247813,0.000580413267,0.000835792162,-0.881160000000818,-20.1333294,12.6136675,9.95376205
-0.869337000000996,9.48984051,0.327061951,1.6348567,-0.869337000000996,0.00210619392,-0.000380189158,-0.000857165898,-0.869337000000996,-19.8449764,12.5776777,9.92652798
-0.856888000001163,9.44681931,0.336709887,1.63674247,-0.856888000001163,0.00335525768,0.00116573833,0.0001440458,-0.856888000001163,-19.2837925,12.4592695,10.0530138
-0.845014000000447,9.46750736,0.297453701,1.66905081,-0.845014000000447,0.00401059631,0.000740048476,0.00149533199,-0.845014000000447,-19.7650661,12.5776806,10.4139357
-0.833237000000736,9.46474838,0.327312917,1.64893675,-0.833237000000736,-5.02630137e-05,0.00138418376,6.7029614e-05,-0.833237000000736,-19.5375423,12.4151592,10.3442755
-0.82141700000011,9.4725275,0.318530798,1.67257094,-0.82141700000011,-0.000414341222,0.00118814316,0.00244753342,-0.82141700000011,-19.361351,12.6705465,10.2166567
-0.808968000000277,9.46040726,0.333372623,1.64462459,-0.808968000000277,0.000827724114,-0.00045720581,0.000915608834,-0.808968000000277,-19.679884,12.6908598,10.0309973
-0.796520000000783,9.48924828,0.345767975,1.65465689,-0.796520000000783,0.00343507482,-0.00016454421,0.000250468496,-0.796520000000783,-19.8436852,12.8783445,9.71123314
-0.785327000000507,9.47380924,0.322963655,1.62559581,-0.785327000000507,0.00299460348,0.00026705768,0.0012821753,-0.785327000000507,-20.0805721,12.8317757,10.2514935
-0.773473000000195,9.46123409,0.304730296,1.60644567,-0.773473000000195,0.00221821759,-0.00124837365,-0.000549100689,-0.773473000000195,-19.486372,12.1017227,10.3442974
-0.760976000000483,9.44777393,0.30405283,1.60855758,-0.760976000000483,-0.00204568496,0.000394174829,0.00104863709,-0.760976000000483,-18.9811077,12.3710442,10.2073507
-0.749225000000479,9.44392109,0.329320282,1.62429702,-0.749225000000479,-0.00682769669,0.00155222137,0.00160735496,-0.749225000000479,-19.2948017,12.4615908,10.0309896
-0.736776000000646,9.45826149,0.313111007,1.67089891,-0.736776000000646,-0.00880351476,-0.000483813696,9.08344518e-05,-0.736776000000646,-20.186594,12.2387056,9.5348568
-0.72558300000037,9.49393749,0.319520473,1.69725263,-0.72558300000037,-0.00155791501,0.00023749657,-0.00102364575,-0.72558300000037,-19.9177933,12.537694,10.3739691
-0.713124000000789,9.46875,0.323837757,1.66898823,-0.713124000000789,0.00425984943,-0.000803076662,1.10177789e-05,-0.713124000000789,-20.0598145,12.4592724,10.5932846
-0.701305000000502,9.4747839,0.309999555,1.66050231,-0.701305000000502,0.00751133729,-0.000240160152,-7.30000902e-05,-0.701305000000502,-19.3987484,12.3919411,10.0541964
-0.689477000000807,9.44467545,0.301719248,1.63410258,-0.689477000000807,0.00445869099,0.000880077481,0.000711166067,-0.689477000000807,-19.6532135,12.4615936,9.81041813
-0.676347000000533,9.44036007,0.327958226,1.59363484,-0.676347000000533,0.000988624059,0.000258613378,0.0012272757,-0.676347000000533,-19.5999031,12.4571705,9.97846222
-0.665211000000454,9.43593407,0.315547645,1.63090396,-0.665211000000454,-0.00407066895,0.00115391333,0.000602253713,-0.665211000000454,-20.1240273,12.6357193,10.0309982
-0.653385000000526,9.4649992,0.334589571,1.62806821,-0.653385000000526,-0.00593150826,0.00172025431,0.000991225243,-0.653385000000526,-20.0509281,12.5312433,10.3675413
-0.64155700000083,9.49234772,0.323800057,1.65773654,-0.64155700000083,-0.00436317408,0.00180427171,-0.000801154179,-0.64155700000083,-19.7544041,12.2758532,10.2514896
-0.629112000000532,9.49830914,0.313349396,1.65393996,-0.629112000000532,0.00106717413,-0.000510416925,-0.00174495368,-0.629112000000532,-19.5446091,12.5474997,10.075038
