gpsTimestamp,latitude,longitude,height,velocityNorth,velocityEast,velocityDown,speed,track,positionDOP,satellites,fix
-0.848088000000644,39.3899536,-8.28970146,217.242004,0.0149999997,0.00300000003,-0.0850000009,0.0149999997,326.433685,1.14999998,18,3
-0.648088000000826,39.3899536,-8.28970146,217.248993,0.0189999994,0.0379999988,-0.193000004,0.0419999994,326.433685,1.14999998,18,3
-0.448088000000098,39.3899536,-8.28970146,217.253006,0.00999999978,0.00800000038,-0.180999994,0.0130000003,326.433685,1.14999998,18,3
-0.248084000000745,39.3899536,-8.28970146,217.248993,-0.00800000038,-0.0480000004,0.00499999989,0.0489999987,326.433685,1.14999998,18,3
-0.0480840000009266,39.3899536,-8.28970146,217.257004,-0.0179999992,-0.00899999961,0.00600000005,0.0199999996,326.433685,1.14999998,18,3
0.151919999999336,39.3899536,-8.28970146,217.261002,0.0350000001,0.0419999994,-0.0280000009,0.0549999997,326.433685,1.14999998,18,3
0.35191599999871,39.3899536,-8.28970146,217.251007,0.0170000009,0.0179999992,-0.00800000038,0.0250000004,326.433685,1.14999998,18,3
0.551919999998972,39.3899536,-8.28970242,217.270996,-0.00499999989,-0.0359999985,0.0209999997,0.0370000005,326.433685,1.14999998,18,3
0.7519199999997,39.3899536,-8.28970242,217.279999,-0.0179999992,-0.00800000038,-0.074000001,0.0199999996,326.433685,1.14999998,18,3
0.951931999999033,39.3899536,-8.28970242,217.292999,-0.0209999997,0.0189999994,-0.0160000008,0.0280000009,326.433685,1.14999998,18,3
1.15192399999887,39.3899536,-8.28970146,217.410995,-0.196999997,-0.0109999999,0.203999996,0.196999997,326.433685,1.14999998,18,3
1.3519239999996,39.3899498,-8.28969765,217.873993,-2.12299991,3.19700003,-3.48300004,3.83800006,114.707222,1.14999998,18,3
1.55192799999986,39.3899384,-8.28969193,219.778,-8.72099972,2.02600002,-13.8999996,8.95300007,166.919235,1.14999998,18,3
1.75193199999921,39.3899155,-8.28968239,223.317993,-14.4110003,5.55000019,-21.8199997,15.4420004,158.937836,1.25,17,3
1.95193599999948,39.3898926,-8.2896719,228.645996,-14.4840002,4.71400023,-34.5569992,15.2320004,161.973053,1.14999998,18,3
2.15192799999932,39.3898735,-8.28966808,235.981995,-8.6619997,1.352,-48.5499992,8.7670002,171.132126,1.23000002,15,3
2.35193199999867,39.3898582,-8.2896595,248.473999,-6.88899994,5.64599991,-71.4720001,8.90699959,140.664764,1.72000003,11,3
2.5519319999994,39.3898506,-8.28964233,266.234009,-6.3499999,8.28499985,-91.9169998,10.4390001,127.465897,2.00999999,10,3
2.75193599999966,39.3898354,-8.28961849,287.76001,-8.15600014,10.3859997,-109.282997,13.2060003,128.141785,2.00999999,10,3
2.95193999999992,39.3898163,-8.28959465,308.692993,-12.6949997,11.6049995,-104.792,17.2000008,137.567642,1.23000002,16,3
3.1519359999993,39.3897934,-8.28956509,333.777008,-9.125,11.1709995,-128.677002,14.4239998,129.242813,2.05999994,9,3
3.35193599999911,39.3897705,-8.28953171,364.673004,-10.9689999,13.4040003,-152.988998,17.3199997,129.293533,2.00999999,10,3
3.55193999999938,39.3897514,-8.28950787,385.457001,-20.5849991,14.3219995,-110.434998,25.0769997,145.17244,1.37,14,3
3.75193999999919,39.3897171,-8.28948116,404.904999,-19.6630001,10.4519997,-99.6539993,22.2679996,152.006332,1.37,14,3
3.95193999999992,39.3896828,-8.28944683,440.071014,-13.5270004,13.335,-160.621994,18.9950008,135.409363,2.57999992,9,3
4.15195199999926,39.389637,-8.28941441,478.35199,-29.0119991,11.842,-183.483002,31.3360004,157.795273,1.58000004,12,3
4.35194399999909,39.3895874,-8.2893877,514.846008,-27.632,10.8889999,-181.369003,29.7010002,158.491364,1.61000001,11,3
4.55194399999982,39.3895378,-8.28934193,561.169006,-24.1900005,20.9640007,-221.701004,32.0099983,139.086807,2.63000011,8,3
4.75194399999873,39.3894806,-8.28930473,597.567993,-36.868,16.5209999,-188.889008,40.4000015,155.862137,2.05999994,9,3
4.95194799999899,39.389431,-8.28925323,646.867981,-25.0890007,21.5109997,-233.453003,33.0480003,139.390274,2.63000011,8,3
5.15195999999924,39.3893814,-8.2891922,701.419983,-26.3880005,24.7350006,-260.737,36.1679993,136.852585,2.33999991,9,3
5.35194799999954,39.3893356,-8.28913403,753.567017,-26.3880005,24.7350006,-260.737,36.1679993,136.852585,99.9899979,0,0
5.55195199999889,39.3892784,-8.28906155,817.929016,-29.4039993,27.4610004,-293.006989,40.2330017,136.956284,2.3599999,8,3
5.75195199999962,39.3892288,-8.28899002,880.851013,-28.5779991,29.3040009,-303.230011,40.9309998,134.281433,1.91999996,10,3
5.95195599999988,39.3891792,-8.2889185,943.23999,-28.6049995,30.0389996,-304.480011,41.4799995,133.599701,2.63000011,8,3
6.15196399999968,39.3891296,-8.28884983,1003.88098,-28.0480003,29.7010002,-300.013,40.8510017,133.359833,2.33999991,9,3
6.35195599999952,39.38908,-8.28878117,1063.74695,-27.6229992,29.4640007,-296.02301,40.387001,133.152451,2.33999991,9,3
6.55195599999934,39.3890305,-8.2887125,1122.79602,-26.9319992,29.4029999,-291.820007,39.8730011,132.488663,2.31999993,10,3
6.75195999999869,39.3889847,-8.28864288,1181.20496,-26.7290001,29.6070004,-286.910004,39.887001,132.075134,1.84000003,10,3
6.9519679999994,39.3889389,-8.28857422,1239.05505,-26.4850006,29.2539997,-282.67099,39.4620018,132.156235,2.31999993,10,3
7.15196399999968,39.3888893,-8.2885046,1296.15295,-26.2980003,29.1860008,-280.221985,39.2859993,132.021164,2.96000004,9,3
