time,msl_altitude,agl_altitude,verticalSpeed,x0,x1,x2
-0.99805600000127,67.6011047,0.655296326,0.0921934023,100515.508,-1.10037386,-0.325501502
-0.978052000001298,67.6143112,0.668502808,0.0990432948,100515.375,-1.18212938,-0.344960898
-0.958044000000882,67.5958176,0.650009155,0.0814986303,100515.594,-0.97272718,-0.281764239
-0.93804800000089,67.6116714,0.665863037,0.093631275,100515.398,-1.11753452,-0.319571048
-0.918048000000454,67.6354523,0.68964386,0.112471737,100515.102,-1.34240127,-0.379617155
-0.898056000000906,67.646019,0.700210571,0.117912658,100514.992,-1.40734005,-0.39370203
-0.87805600000047,67.6090317,0.663223267,0.0843528584,100515.43,-1.00679243,-0.275833786
-0.858056000000033,67.6195984,0.673789978,0.0909266174,100515.297,-1.08525229,-0.294922501
-0.838056000000506,67.5799637,0.634155273,0.0564872958,100515.766,-0.674205184,-0.175200984
-0.818056000000979,67.5482559,0.60244751,0.0282279365,100516.148,-0.336916119,-0.0777187496
-0.798056000000543,67.5376892,0.591880798,0.0181234926,100516.281,-0.216314197,-0.0426918641
-0.778052000000571,67.5139084,0.568099976,-0.00196983363,100516.555,0.0235111378,0.0256939568
-0.758048000000599,67.5006943,0.554885864,-0.0124757681,100516.703,0.148905888,0.0609061681
-0.738052000000607,67.5244751,0.578666687,0.00733713806,100516.422,-0.0875730142,-0.00673834374
-0.718040000000656,67.5535431,0.60773468,0.0296254717,100516.102,-0.353596359,-0.081981279
-0.698040000000219,67.532402,0.586593628,0.0118027274,100516.344,-0.140872329,-0.0208232291
-0.678052000000207,67.5059814,0.560173035,-0.00957050174,100516.648,0.114229709,0.0516397953
-0.658048000000235,67.5191879,0.573379517,0.000237605651,100516.5,-0.00283596362,0.0179102011
-0.638048000000708,67.5218353,0.576026917,0.000890568597,100516.484,-0.0106294611,0.015500945
-0.618048000001181,67.4478455,0.502037048,-0.0590477511,100517.344,0.704774499,0.217878506
-0.598040000000765,67.4557724,0.509963989,-0.0521554351,100517.266,0.622509718,0.192117989
-0.578040000001238,67.4319916,0.486183167,-0.0699647292,100517.547,0.835077405,0.250125468
-0.558048000000781,67.3870773,0.441268921,-0.106065661,100518.086,1.26597238,0.369291008
-0.538040000000365,67.3500824,0.404273987,-0.134065673,100518.523,1.60017896,0.459730774
-0.518040000000838,67.2813797,0.335571289,-0.187539801,100519.328,2.2384491,0.635235846
-0.498036000000866,67.3157349,0.369926453,-0.156052992,100518.938,1.86262119,0.521630108
-0.478040000000874,67.3263016,0.380493164,-0.143434018,100518.812,1.71200144,0.473074317
-0.458048000001327,67.3368683,0.391059875,-0.130706981,100518.672,1.56009221,0.424703866
-0.43804800000089,67.3553696,0.409561157,-0.112553053,100518.453,1.34340823,0.358541965
-0.418048000000454,67.3817902,0.43598175,-0.0890222341,100518.148,1.06254697,0.274959296
-0.398052000000462,67.3580093,0.412200928,-0.105628327,100518.414,1.2607559,0.327962965
-0.378052000000935,67.4029312,0.457122803,-0.0659269169,100517.883,0.786885381,0.190079361
-0.358052000000498,67.3553696,0.409561157,-0.10484273,100518.469,1.25137961,0.319437891
-0.338048000000526,67.3342285,0.388420105,-0.118471943,100518.695,1.41405749,0.361877888
-0.318052000000534,67.3263016,0.380493164,-0.122262798,100518.797,1.45930552,0.370588273
-0.298052000001007,67.368576,0.422767639,-0.0830883905,100518.281,0.99172312,0.234001949
-0.278036000000611,67.397644,0.451835632,-0.0570011772,100517.938,0.680350542,0.143191516
-0.258028000001104,67.4795532,0.533744812,0.0123858731,100516.969,-0.147833258,-0.0929156318
-0.238044000000627,67.532402,0.586593628,0.0568447188,100516.336,-0.678474367,-0.242104217
-0.218044000000191,67.4848404,0.539031982,0.0153735764,100516.906,-0.183493316,-0.0992167667
-0.198052000000644,67.4822006,0.536392212,0.0122511387,100516.953,-0.146225095,-0.0875411406
-0.178052000000207,67.5165482,0.570739746,0.0416654386,100516.531,-0.497301728,-0.185949996
-0.1580440000007,67.5667496,0.620941162,0.0816653818,100515.945,-0.97472018,-0.319015086
-0.138048000000708,67.6090317,0.663223267,0.116243631,100515.422,-1.38742423,-0.432250142
-0.118052000000716,67.6433792,0.697570801,0.142810866,100515.008,-1.7045114,-0.517130077
-0.0980520000002798,67.994812,1.0490036,0.432260603,100510.828,-5.15904951,-1.48935783
-0.07778000000053,67.4584198,0.512611389,-0.0240365677,100517.227,0.286892295,0.0694311857
-0.0580400000008012,64.5228043,-2.42300415,-2.47019672,100552.273,29.4917545,8.33744431
-0.0380400000003647,64.1687317,-2.77707672,-2.70858145,100556.484,32.3389282,9.04910183
-0.0180440000012823,63.9864082,-2.95940018,-2.80059361,100558.672,33.4380913,9.25778008
0.0019559999991543,64.3061295,-2.63967896,-2.46937561,100554.836,29.4825535,8.03295135
0.0219519999991462,63.8146591,-3.13114929,-2.82368851,100560.711,33.7143898,9.14009762
0.0419599999995626,64.1396637,-2.80614471,-2.48950624,100556.844,29.7233791,7.90655851
0.061955999998645,64.0445404,-2.90126801,-2.51165342,100557.977,29.988081,7.89191771
0.0819639999999708,63.2042847,-3.74152374,-3.15504837,100568.023,37.6729965,9.97833347
0.101951999999983,63.0457458,-3.90006256,-3.21305656,100569.898,38.3662224,10.0615454
0.12195199999951,63.479084,-3.4667244,-2.77732444,100564.719,33.1618767,8.47403049
0.141955999999482,64.2876358,-2.65817261,-2.04004741,100555.078,24.3567352,5.88500643
0.161975999999413,64.7130508,-2.23275757,-1.63577473,100549.984,19.5292015,4.45149899
0.18197599999894,65.0459824,-1.89982605,-1.31903863,100546.016,15.7472458,3.33026791
0.201927999999498,65.3604126,-1.58539581,-1.04039156,100542.281,12.4202671,2.36656523
0.221927999999934,65.8254623,-1.12034607,-0.636026204,100536.719,7.59258413,0.98216933
0.241927999999461,66.1161194,-0.829689026,-0.38319847,100533.242,4.57431698,0.119470142
0.261927999998989,66.5336075,-0.412200928,-0.0277683754,100528.273,0.331463367,-1.08608484
0.28192399999989,66.5415344,-0.404273987,-0.016927667,100528.156,0.20206064,-1.11666381
0.301927999999862,66.9008865,-0.044921875,0.284340829,100523.891,-3.39397764,-2.13151693
0.321927999999389,67.0250778,0.0792694092,0.388627648,100522.383,-4.63872004,-2.47289014
0.34193199999936,67.4187851,0.472976685,0.714452624,100517.711,-8.52749634,-3.56317139
0.361923999999817,67.6697998,0.723991394,0.920455217,100514.695,-10.9860153,-4.24109936
0.381935999998859,67.8283463,0.882537842,1.04404306,100512.82,-12.4609013,-4.63584661
0.401943999999276,68.3383102,1.39250183,1.4621433,100506.727,-17.4501686,-6.02635813
0.421951999999692,68.6765289,1.73072052,1.73056233,100502.695,-20.6529846,-6.90165949
0.441931999998815,68.9803925,2.03458405,1.96906984,100499.055,-23.4987068,-7.67058277
0.461927999999716,69.4348755,2.48906708,2.33075643,100493.625,-27.8138275,-8.85241604
0.481927999999243,69.5881271,2.64231873,2.43493414,100491.797,-29.056591,-9.155056
0.50192799999877,69.979187,3.0333786,2.73694992,100487.133,-32.6593819,-10.1261721
0.521939999999631,70.4046021,3.45879364,3.06288552,100482.078,-36.5472069,-11.1727161
0.541927999999643,70.9409943,3.99518585,3.48050404,100475.672,-41.5282059,-12.5237532
0.56192799999917,71.2237244,4.27791595,3.67996025,100472.297,-43.9068527,-13.1281061
0.581927999998697,71.9899979,5.04418945,4.28355074,100463.141,-51.1047249,-15.0975809
0.601927999999134,72.6452942,5.69948578,4.78697872,100455.32,-57.1072464,-16.7164154
0.621927999999571,73.2028198,6.25701141,5.20160723,100448.672,-62.0503235,-18.025198
0.641928000000007,73.6599426,6.71413422,5.52628756,100443.242,-65.920578,-19.0218887
0.661927999999534,74.143486,7.19767761,5.87156057,100437.469,-70.0359192,-20.0825176
0.681927999999061,74.8780518,7.93224335,6.42222977,100428.711,-76.5988846,-21.8321934
0.701927999999498,75.4672852,8.52147675,6.84569025,100421.672,-81.644928,-23.141161
0.72193199999947,76.2124252,9.26661682,7.3935895,100412.797,-88.1731262,-24.8635941
0.741931999999906,77.044754,10.0989456,8.00997829,100402.867,-95.5162964,-26.8076782
0.761927999998989,78.0197678,11.0739594,8.73964214,100391.227,-104.207497,-29.1235294
0.781927999999425,78.8679504,11.922142,9.35289669,100381.117,-111.510574,-31.032032
0.801927999999862,79.7214203,12.7756119,9.96425819,100370.938,-118.789818,-32.9229279
0.821931999999833,80.7202225,13.7744141,10.6895199,100359.039,-127.423851,-35.1878128
0.84193199999936,81.7612915,14.8154831,11.4433508,100346.625,-136.39621,-37.5359116
0.861931999998887,82.7706604,15.824852,12.1606054,100334.609,-144.93129,-39.7464981
0.881931999999324,83.7483215,16.8025131,12.8436098,100322.961,-153.057022,-41.8282814
0.901931999999761,84.9109421,17.9651337,13.675786,100309.078,-162.955765,-44.4017372
0.921931999999288,85.989006,19.0431976,14.4249783,100296.242,-171.865051,-46.6795959
0.941943999999239,86.96138,20.0155716,15.0765953,100284.672,-179.611923,-48.6144142
0.961947999999211,87.9363937,20.9905853,15.7248545,100273.039,-187.317215,-50.5264359
0.981931999999688,88.9219818,21.9761734,16.3724022,100261.305,-195.012451,-52.4247437
1.00193199999921,90.0185394,23.072731,17.1055832,100248.25,-203.723923,-54.6008568
1.02193199999874,91.1309586,24.1851501,17.8456745,100234.984,-212.515457,-56.7873497
1.04193199999918,92.2618713,25.3160629,18.5892334,100221.547,-221.346146,-58.9725456
1.06193599999915,93.4482727,26.5024643,19.3740692,100207.398,-230.664963,-61.2839508
1.0819479999991,94.5659714,27.620163,20.0898609,100194.102,-239.161392,-63.3486824
1.10193199999867,95.6995316,28.7537231,20.8118343,100180.594,-247.729141,-65.4219437
1.12193199999911,97.0021896,30.0563812,21.6651726,100165.109,-257.85437,-67.9257202
1.14193199999954,98.0670471,31.1212387,22.3114586,100152.414,-265.519073,-69.7165375
1.16193599999951,99.4067001,32.4608917,23.1784534,100136.484,-275.801331,-72.240509
1.18193199999951,100.669731,33.7239227,23.9717445,100121.461,-285.206055,-74.500946
1.20194399999946,101.96447,35.0186615,24.7821064,100106.062,-294.810669,-76.8053055
1.221935999999,103.393967,36.4481583,25.6966209,100089.055,-305.647797,-79.4465942
1.24193199999991,104.905373,37.9595642,26.6689949,100071.086,-317.167542,-82.2667236
1.26193199999943,106.382423,39.436615,27.6008015,100053.523,-328.202667,-84.9332123
1.28194399999938,107.846275,40.9004669,28.5129051,100036.094,-339.000702,-87.5172348
