pressureTimestamp,pressure,temperatureTimestamp,temperature
-0.989056000001256,100487.477,-1.06407200000012,52.9199982
-0.989056000001256,100487.477,-1.06407200000012,52.9199982
-0.959060000000136,100493.875,-0.974072000000888,52.9199982
-0.944052000000738,100490.047,-0.974072000000888,52.9199982
-0.929056000000855,100490.086,-0.974072000000888,52.9199982
-0.914056000000528,100489.773,-0.974072000000888,52.9199982
-0.89906400000018,100489.156,-0.974072000000888,52.9199982
-0.89906400000018,100489.156,-0.974072000000888,52.9199982
-0.869064000001345,100489.688,-0.884072000000742,52.9199982
-0.854060000000572,100492.648,-0.884072000000742,52.9199982
-0.83905600000071,100489.922,-0.884072000000742,52.9199982
-0.824064000001272,100489.102,-0.884072000000742,52.9199982
-0.809056000000965,100490.078,-0.884072000000742,52.9199982
-0.809056000000965,100490.078,-0.884072000000742,52.9199982
-0.779060000000754,100490.945,-0.794064000000617,52.9099998
-0.764056000000892,100488.727,-0.794064000000617,52.9099998
-0.749060000001009,100487.242,-0.794064000000617,52.9099998
-0.734060000000682,100490.867,-0.794064000000617,52.9099998
-0.719052000001284,100487.789,-0.794064000000617,52.9099998
-0.719052000001284,100487.789,-0.794064000000617,52.9099998
-0.689056000000164,100492.195,-0.704064000000471,52.9199982
-0.674060000000281,100490.906,-0.704064000000471,52.9199982
-0.659060000000864,100489.273,-0.704064000000471,52.9199982
-0.644060000000536,100488.062,-0.704064000000471,52.9199982
-0.629060000000209,100490.672,-0.704064000000471,52.9199982
-0.629060000000209,100490.672,-0.704064000000471,52.9199982
-0.599052000000484,100491.102,-0.61369200000081,52.9199982
-0.584060000000136,100488.688,-0.61369200000081,52.9199982
-0.569060000000718,100489.586,-0.61369200000081,52.9199982
-0.554052000000411,100490.672,-0.61369200000081,52.9199982
-0.539052000000993,100490.828,-0.61369200000081,52.9199982
-0.539052000000993,100490.828,-0.61369200000081,52.9199982
-0.509060000001227,100490.477,-0.524068000000625,52.9199982
-0.4940600000009,100487.984,-0.524068000000625,52.9199982
-0.479052000000593,100490.125,-0.524068000000625,52.9199982
-0.464052000000265,100488.375,-0.524068000000625,52.9199982
-0.449060000000827,100488.883,-0.524068000000625,52.9199982
-0.449060000000827,100488.883,-0.524068000000625,52.9199982
-0.419060000001082,100490.727,-0.434064000000035,52.9099998
-0.404060000000754,100489.68,-0.434064000000035,52.9099998
-0.389052000000447,100486.945,-0.434064000000035,52.9099998
-0.374056000000564,100489.914,-0.434064000000035,52.9099998
-0.359048000001167,100487.609,-0.434064000000035,52.9099998
-0.359048000001167,100487.609,-0.434064000000035,52.9099998
-0.329060000000936,100490.805,-0.344068000001243,52.9099998
-0.314060000000609,100492.094,-0.344068000001243,52.9099998
-0.299060000000281,100489.828,-0.344068000001243,52.9099998
-0.284052000000884,100488.586,-0.344068000001243,52.9099998
-0.269056000000091,100487.844,-0.344068000001243,52.9099998
-0.269056000000091,100487.844,-0.344068000001243,52.9099998
-0.239052000000811,100491.586,-0.253944000000956,52.9199982
-0.224056000000019,100492.055,-0.253944000000956,52.9199982
-0.209056000000601,100489.32,-0.253944000000956,52.9199982
-0.194056000001183,100489.164,-0.253944000000956,52.9199982
-0.1790600000013,100486.438,-0.253944000000956,52.9199982
-0.1790600000013,100486.438,-0.253944000000956,52.9199982
-0.149048000000221,100491.625,-0.164060000000063,52.9199982
-0.134007999999994,100490.492,-0.164060000000063,52.9199982
-0.1190600000009,100490.414,-0.164060000000063,52.9199982
-0.104060000000572,100490.688,-0.164060000000063,52.9199982
-0.0890520000002653,100494.625,-0.164060000000063,52.9199982
-0.0890520000002653,100494.625,-0.164060000000063,52.9199982
-0.0590520000005199,100481.273,-0.0740680000008069,52.9199982
-0.0440520000001925,100540.664,-0.0740680000008069,52.9199982
-0.0290560000003097,100536.062,-0.0740680000008069,52.9199982
-0.0140520000004472,100547.414,-0.0740680000008069,52.9199982
0.000947999999880267,100545.305,-0.0740680000008069,52.9199982
0.000947999999880267,100545.305,-0.0740680000008069,52.9199982
0.030943999999181,100540.656,0.0159319999993386,52.9199982
0.0459439999995084,100531.648,0.0159319999993386,52.9199982
0.0609559999993508,100534.492,0.0159319999993386,52.9199982
0.0759519999992335,100532.352,0.0159319999993386,52.9199982
0.0909519999995609,100531.336,0.0159319999993386,52.9199982
0.0909519999995609,100531.336,0.0159319999993386,52.9199982
0.120943999999326,100531.93,0.105935999999019,52.9199982
0.135947999999189,100531.07,0.105935999999019,52.9199982
0.150943999999981,100530.609,0.105935999999019,52.9199982
0.166003999999703,100523,0.105935999999019,52.9199982
0.180951999999706,100518.867,0.105935999999019,52.9199982
0.180951999999706,100518.867,0.105935999999019,52.9199982
0.210947999999007,100512.055,0.195943999999145,52.9199982
0.22594399999889,100514.867,0.195943999999145,52.9199982
0.240943999999217,100499.891,0.195943999999145,52.9199982
0.255943999999545,100502.039,0.195943999999145,52.9199982
0.270947999999407,100495.211,0.195943999999145,52.9199982
0.270947999999407,100495.211,0.195943999999145,52.9199982
0.300943999999618,100493.992,0.285939999998845,52.9199982
0.31594799999948,100478.156,0.285939999998845,52.9199982
0.330943999999363,100473.633,0.285939999998845,52.9199982
0.34594399999969,100474.688,0.285939999998845,52.9199982
0.360947999999553,100467.625,0.285939999998845,52.9199982
0.360947999999553,100467.625,0.285939999998845,52.9199982
0.390947999999298,100459.023,0.375935999999456,52.9099998
0.405955999999605,100458.398,0.375935999999456,52.9099998
0.420947999999953,100446.938,0.375935999999456,52.9099998
0.435951999998906,100438.625,0.375935999999456,52.9099998
